Date,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha
20200101,05:18 AM,06:50 AM,11:58 AM,02:47 PM,05:05 PM,06:28 PM
20200102,05:19 AM,06:50 AM,11:59 AM,02:47 PM,05:06 PM,06:29 PM
20200103,05:19 AM,06:51 AM,11:59 AM,02:48 PM,05:07 PM,06:30 PM
20200104,05:19 AM,06:51 AM,12:00 PM,02:49 PM,05:08 PM,06:30 PM
20200105,05:20 AM,06:51 AM,12:00 PM,02:50 PM,05:08 PM,06:31 PM
20200106,05:20 AM,06:51 AM,12:01 PM,02:50 PM,05:09 PM,06:32 PM
20200107,05:20 AM,06:51 AM,12:01 PM,02:51 PM,05:10 PM,06:32 PM
20200108,05:20 AM,06:51 AM,12:01 PM,02:52 PM,05:11 PM,06:33 PM
20200109,05:20 AM,06:51 AM,12:02 PM,02:52 PM,05:11 PM,06:34 PM
20200110,05:20 AM,06:52 AM,12:02 PM,02:53 PM,05:12 PM,06:34 PM
20200111,05:21 AM,06:52 AM,12:03 PM,02:54 PM,05:13 PM,06:35 PM
20200112,05:21 AM,06:52 AM,12:03 PM,02:55 PM,05:14 PM,06:36 PM
20200113,05:21 AM,06:52 AM,12:03 PM,02:55 PM,05:15 PM,06:37 PM
20200114,05:21 AM,06:51 AM,12:04 PM,02:56 PM,05:15 PM,06:37 PM
20200115,05:21 AM,06:51 AM,12:04 PM,02:57 PM,05:16 PM,06:38 PM
20200116,05:21 AM,06:51 AM,12:05 PM,02:58 PM,05:17 PM,06:39 PM
20200117,05:21 AM,06:51 AM,12:05 PM,02:59 PM,05:18 PM,06:40 PM
20200118,05:21 AM,06:51 AM,12:05 PM,02:59 PM,05:19 PM,06:40 PM
20200119,05:21 AM,06:51 AM,12:06 PM,03:00 PM,05:20 PM,06:41 PM
20200120,05:20 AM,06:51 AM,12:06 PM,03:01 PM,05:21 PM,06:42 PM
20200121,05:20 AM,06:50 AM,12:06 PM,03:02 PM,05:21 PM,06:43 PM
20200122,05:20 AM,06:50 AM,12:07 PM,03:02 PM,05:22 PM,06:43 PM
20200123,05:20 AM,06:50 AM,12:07 PM,03:03 PM,05:23 PM,06:44 PM
20200124,05:20 AM,06:49 AM,12:07 PM,03:04 PM,05:24 PM,06:45 PM
20200125,05:19 AM,06:49 AM,12:07 PM,03:05 PM,05:25 PM,06:46 PM
20200126,05:19 AM,06:49 AM,12:08 PM,03:05 PM,05:26 PM,06:46 PM
20200127,05:19 AM,06:48 AM,12:08 PM,03:06 PM,05:27 PM,06:47 PM
20200128,05:19 AM,06:48 AM,12:08 PM,03:07 PM,05:28 PM,06:48 PM
20200129,05:18 AM,06:47 AM,12:08 PM,03:08 PM,05:28 PM,06:49 PM
20200130,05:18 AM,06:47 AM,12:08 PM,03:08 PM,05:29 PM,06:49 PM
20200131,05:18 AM,06:46 AM,12:09 PM,03:09 PM,05:30 PM,06:50 PM
20200201,05:17 AM,06:46 AM,12:09 PM,03:10 PM,05:31 PM,06:51 PM
20200202,05:17 AM,06:45 AM,12:09 PM,03:11 PM,05:32 PM,06:52 PM
20200203,05:16 AM,06:45 AM,12:09 PM,03:11 PM,05:33 PM,06:52 PM
20200204,05:16 AM,06:44 AM,12:09 PM,03:12 PM,05:34 PM,06:53 PM
20200205,05:15 AM,06:43 AM,12:09 PM,03:13 PM,05:34 PM,06:54 PM
20200206,05:15 AM,06:43 AM,12:09 PM,03:13 PM,05:35 PM,06:55 PM
20200207,05:14 AM,06:42 AM,12:09 PM,03:14 PM,05:36 PM,06:55 PM
20200208,05:13 AM,06:41 AM,12:09 PM,03:15 PM,05:37 PM,06:56 PM
20200209,05:13 AM,06:41 AM,12:10 PM,03:15 PM,05:38 PM,06:57 PM
20200210,05:12 AM,06:40 AM,12:10 PM,03:16 PM,05:39 PM,06:58 PM
20200211,05:12 AM,06:39 AM,12:10 PM,03:16 PM,05:39 PM,06:58 PM
20200212,05:11 AM,06:38 AM,12:10 PM,03:17 PM,05:40 PM,06:59 PM
20200213,05:10 AM,06:37 AM,12:10 PM,03:18 PM,05:41 PM,07:00 PM
20200214,05:09 AM,06:37 AM,12:10 PM,03:18 PM,05:42 PM,07:00 PM
20200215,05:09 AM,06:36 AM,12:10 PM,03:19 PM,05:43 PM,07:01 PM
20200216,05:08 AM,06:35 AM,12:10 PM,03:19 PM,05:43 PM,07:02 PM
20200217,05:07 AM,06:34 AM,12:09 PM,03:20 PM,05:44 PM,07:03 PM
20200218,05:06 AM,06:33 AM,12:09 PM,03:20 PM,05:45 PM,07:03 PM
20200219,05:05 AM,06:32 AM,12:09 PM,03:21 PM,05:46 PM,07:04 PM
20200220,05:05 AM,06:31 AM,12:09 PM,03:21 PM,05:47 PM,07:05 PM
20200221,05:04 AM,06:30 AM,12:09 PM,03:22 PM,05:47 PM,07:05 PM
20200222,05:03 AM,06:29 AM,12:09 PM,03:22 PM,05:48 PM,07:06 PM
20200223,05:02 AM,06:28 AM,12:09 PM,03:23 PM,05:49 PM,07:07 PM
20200224,05:01 AM,06:27 AM,12:09 PM,03:23 PM,05:50 PM,07:07 PM
20200225,05:00 AM,06:26 AM,12:09 PM,03:24 PM,05:50 PM,07:08 PM
20200226,04:59 AM,06:25 AM,12:09 PM,03:24 PM,05:51 PM,07:09 PM
20200227,04:58 AM,06:24 AM,12:08 PM,03:25 PM,05:52 PM,07:09 PM
20200228,04:57 AM,06:23 AM,12:08 PM,03:25 PM,05:52 PM,07:10 PM
20200229,04:56 AM,06:22 AM,12:08 PM,03:25 PM,05:53 PM,07:11 PM
20200301,04:55 AM,06:21 AM,12:08 PM,03:26 PM,05:54 PM,07:11 PM
20200302,04:54 AM,06:20 AM,12:08 PM,03:26 PM,05:55 PM,07:12 PM
20200303,04:53 AM,06:19 AM,12:07 PM,03:26 PM,05:55 PM,07:13 PM
20200304,04:52 AM,06:18 AM,12:07 PM,03:27 PM,05:56 PM,07:13 PM
20200305,04:51 AM,06:17 AM,12:07 PM,03:27 PM,05:57 PM,07:14 PM
20200306,04:49 AM,06:16 AM,12:07 PM,03:27 PM,05:57 PM,07:15 PM
20200307,04:48 AM,06:15 AM,12:07 PM,03:28 PM,05:58 PM,07:15 PM
20200308,04:47 AM,06:13 AM,12:06 PM,03:28 PM,05:59 PM,07:16 PM
20200309,04:46 AM,06:12 AM,12:06 PM,03:28 PM,05:59 PM,07:17 PM
20200310,04:45 AM,06:11 AM,12:06 PM,03:28 PM,06:00 PM,07:17 PM
20200311,04:44 AM,06:10 AM,12:06 PM,03:29 PM,06:01 PM,07:18 PM
20200312,04:42 AM,06:09 AM,12:05 PM,03:29 PM,06:01 PM,07:19 PM
20200313,04:41 AM,06:08 AM,12:05 PM,03:29 PM,06:02 PM,07:19 PM
20200314,04:40 AM,06:06 AM,12:05 PM,03:29 PM,06:03 PM,07:20 PM
20200315,04:39 AM,06:05 AM,12:04 PM,03:29 PM,06:03 PM,07:21 PM
20200316,04:38 AM,06:04 AM,12:04 PM,03:30 PM,06:04 PM,07:21 PM
20200317,04:36 AM,06:03 AM,12:04 PM,03:30 PM,06:04 PM,07:22 PM
20200318,04:35 AM,06:02 AM,12:04 PM,03:30 PM,06:05 PM,07:23 PM
20200319,04:34 AM,06:00 AM,12:03 PM,03:30 PM,06:06 PM,07:23 PM
20200320,04:32 AM,05:59 AM,12:03 PM,03:30 PM,06:06 PM,07:24 PM
20200321,04:31 AM,05:58 AM,12:03 PM,03:30 PM,06:07 PM,07:25 PM
20200322,04:30 AM,05:57 AM,12:02 PM,03:30 PM,06:08 PM,07:26 PM
20200323,04:29 AM,05:56 AM,12:02 PM,03:30 PM,06:08 PM,07:26 PM
20200324,04:27 AM,05:54 AM,12:02 PM,03:31 PM,06:09 PM,07:27 PM
20200325,04:26 AM,05:53 AM,12:02 PM,03:31 PM,06:09 PM,07:28 PM
20200326,04:25 AM,05:52 AM,12:01 PM,03:31 PM,06:10 PM,07:28 PM
20200327,04:23 AM,05:51 AM,12:01 PM,03:31 PM,06:11 PM,07:29 PM
20200328,04:22 AM,05:49 AM,12:01 PM,03:31 PM,06:11 PM,07:30 PM
20200329,04:21 AM,05:48 AM,12:00 PM,03:31 PM,06:12 PM,07:30 PM
20200330,04:19 AM,05:47 AM,12:00 PM,03:31 PM,06:13 PM,07:31 PM
20200331,04:18 AM,05:46 AM,12:00 PM,03:31 PM,06:13 PM,07:32 PM
20200401,04:17 AM,05:45 AM,11:59 AM,03:31 PM,06:14 PM,07:33 PM
20200402,04:15 AM,05:43 AM,11:59 AM,03:31 PM,06:14 PM,07:33 PM
20200403,04:14 AM,05:42 AM,11:59 AM,03:31 PM,06:15 PM,07:34 PM
20200404,04:13 AM,05:41 AM,11:59 AM,03:31 PM,06:16 PM,07:35 PM
20200405,04:11 AM,05:40 AM,11:58 AM,03:31 PM,06:16 PM,07:36 PM
20200406,04:10 AM,05:39 AM,11:58 AM,03:31 PM,06:17 PM,07:36 PM
20200407,04:09 AM,05:38 AM,11:58 AM,03:31 PM,06:17 PM,07:37 PM
20200408,04:07 AM,05:36 AM,11:57 AM,03:31 PM,06:18 PM,07:38 PM
20200409,04:06 AM,05:35 AM,11:57 AM,03:31 PM,06:19 PM,07:39 PM
20200410,04:04 AM,05:34 AM,11:57 AM,03:31 PM,06:19 PM,07:39 PM
20200411,04:03 AM,05:33 AM,11:57 AM,03:31 PM,06:20 PM,07:40 PM
20200412,04:02 AM,05:32 AM,11:56 AM,03:31 PM,06:20 PM,07:41 PM
20200413,04:00 AM,05:31 AM,11:56 AM,03:31 PM,06:21 PM,07:42 PM
20200414,03:59 AM,05:29 AM,11:56 AM,03:31 PM,06:22 PM,07:43 PM
20200415,03:58 AM,05:28 AM,11:56 AM,03:31 PM,06:22 PM,07:43 PM
20200416,03:56 AM,05:27 AM,11:55 AM,03:30 PM,06:23 PM,07:44 PM
20200417,03:55 AM,05:26 AM,11:55 AM,03:30 PM,06:24 PM,07:45 PM
20200418,03:54 AM,05:25 AM,11:55 AM,03:30 PM,06:24 PM,07:46 PM
20200419,03:52 AM,05:24 AM,11:55 AM,03:30 PM,06:25 PM,07:47 PM
20200420,03:51 AM,05:23 AM,11:54 AM,03:30 PM,06:25 PM,07:47 PM
20200421,03:50 AM,05:22 AM,11:54 AM,03:30 PM,06:26 PM,07:48 PM
20200422,03:49 AM,05:21 AM,11:54 AM,03:30 PM,06:27 PM,07:49 PM
20200423,03:47 AM,05:20 AM,11:54 AM,03:30 PM,06:27 PM,07:50 PM
20200424,03:46 AM,05:19 AM,11:54 AM,03:30 PM,06:28 PM,07:51 PM
20200425,03:45 AM,05:18 AM,11:53 AM,03:30 PM,06:29 PM,07:52 PM
20200426,03:43 AM,05:17 AM,11:53 AM,03:30 PM,06:29 PM,07:53 PM
20200427,03:42 AM,05:16 AM,11:53 AM,03:30 PM,06:30 PM,07:53 PM
20200428,03:41 AM,05:15 AM,11:53 AM,03:30 PM,06:31 PM,07:54 PM
20200429,03:40 AM,05:14 AM,11:53 AM,03:29 PM,06:31 PM,07:55 PM
20200430,03:39 AM,05:13 AM,11:53 AM,03:29 PM,06:32 PM,07:56 PM
20200501,03:37 AM,05:12 AM,11:53 AM,03:29 PM,06:32 PM,07:57 PM
20200502,03:36 AM,05:11 AM,11:52 AM,03:29 PM,06:33 PM,07:58 PM
20200503,03:35 AM,05:10 AM,11:52 AM,03:29 PM,06:34 PM,07:59 PM
20200504,03:34 AM,05:10 AM,11:52 AM,03:29 PM,06:34 PM,08:00 PM
20200505,03:33 AM,05:09 AM,11:52 AM,03:29 PM,06:35 PM,08:01 PM
20200506,03:32 AM,05:08 AM,11:52 AM,03:29 PM,06:36 PM,08:01 PM
20200507,03:31 AM,05:07 AM,11:52 AM,03:29 PM,06:36 PM,08:02 PM
20200508,03:29 AM,05:06 AM,11:52 AM,03:29 PM,06:37 PM,08:03 PM
20200509,03:28 AM,05:05 AM,11:52 AM,03:29 PM,06:38 PM,08:04 PM
20200510,03:27 AM,05:05 AM,11:52 AM,03:29 PM,06:38 PM,08:05 PM
20200511,03:26 AM,05:04 AM,11:52 AM,03:29 PM,06:39 PM,08:06 PM
20200512,03:25 AM,05:03 AM,11:52 AM,03:29 PM,06:40 PM,08:07 PM
20200513,03:24 AM,05:03 AM,11:52 AM,03:29 PM,06:40 PM,08:08 PM
20200514,03:23 AM,05:02 AM,11:52 AM,03:29 PM,06:41 PM,08:09 PM
20200515,03:22 AM,05:01 AM,11:52 AM,03:29 PM,06:42 PM,08:10 PM
20200516,03:22 AM,05:01 AM,11:52 AM,03:29 PM,06:42 PM,08:10 PM
